Zhang Xiaorui|None!!!Intelligent Information Processing and Data Mining in the Application of Mobile Learning
Dechang Pi|Nanjing University of Aeronautics and Astronautics!!!Learning user distance from multiple social networks
Yufeng Ma|Communication University of China!!!Interactive application practice of TV and mobile terminal under the media convergence
Yuqing Sun|None!!!User Preference Based Link Inference for Social Network
Wenwu Zhu|Tsinghua University!!!Socially-Driven Learning-Based Prefetching in Mobile Online Social Networks*@*On Energy-Efficient Offloading in Mobile Cloud for Real-Time Video Applications*@*Community based effective social video contents placement in cloud centric CDN network
Li Tian|Economics and Management Beijing University of Posts and Telecommunications Beijing!!!Applications and prospects of Internet of Things based on mobile communication network
Cheng Zhao|None!!!Intelligent traffic service based on cloud computing*@*Intelligent traffic service based on cloud computing
Hong Mo|Changsha University Of Science And Technology!!!Interventions of traffic flow for intersection based on interval type-2 fuzzy sets
Chen Liping|None!!!Cyber-physical systems modeling method based on Modelica*@*Modeling and Simulating CAN-Based Cyber-Physical Systems in Modelica
Yongchuan Tang|Zhejiang University!!!Research on pedestrian evacuation simulation based on fuzzy logic
Pan Zhou|Huazhong University of Science & Technology!!!Distributed private online learning for social big data computing over data center networks
Xiaoming Deng|None!!!WiP Abstract: A Human-Centered Cyber-Physical Systematic Approach for Post-Stroke Monitoring
Longhua Ma|None!!!A High-Confidence Cyber-Physical Alarm System: Design and Implementation*@*Net-in-Net: Interaction Modeling for Smart Community Cyber-Physical System
Lei Ye|None!!!Mobile Geographic Information Services Challenges in Pervasive Computing Environment*@*Modeling for Urban Crowd Daily Behavior Based on Human-Earth Relationship*@*Modeling for Urban Crowd Daily Behavior Based on Human-Earth Relationship
Xiaohong Hao|None!!!Density-Aware Compressive CrowdSensing*@*Density-Aware Compressive CrowdSensing
Chuanzheng Lu|Henan University of Technology!!!Key technology and application research on mobile augmented reality
Ge Xie|Yunnan University!!!Research on computing the degree of relevant service on ERP system
Lei Yu|Chang'an university!!!Evacuation modelling: An agent based approach*@*Detect Similar Mobile Applications with Transfer Learning*@*Titian2: A Scalable System-Level Emulator with All Programmability for Datacenter Servers in Cloud Computing
Linrun Qiu|None!!!The Research of Intelligent Agent System Architecture Based on Cloud Computing
Zhongya Wang|None!!!CUDA-Enabled Multiple Symbol Detection for PCM/FM Demodulation
Kai Shuang|None!!!Study on wireless resource consumption of mobile applications in GPRS
Qiang Li|None!!!RestThing: A Restful Web Service Infrastructure for Mash-Up Physical and Web Resources*@*Poster Abstract: Smartphone Heterogeneous Network Handoff Based on the Closed Control Loop*@*Context-Aware Handoff on Smartphones
Min Tan|None!!!Spiking neural networks and its application for mobile robots
Jie Niu|None!!!Based on Social Network Theory Security Identity Authentication Protocol Research on MANET
K.L. Man|Xi'an Jiaotong-Liverpool University!!!Towards a hybrid approach to SoC estimation for a smart Battery Management System (BMS) and battery supported Cyber-Physical Systems (CPS)
Kaifei Fang|None!!!An Efficient Data Transmission Strategy for Cyber-Physical Systems in the Complicated Environment
Shanwen Yi|None!!!An Energy-Aware Ant Colony Algorithm for Network-Aware Virtual Machine Placement in Cloud Computing
Cui Jingsong|None!!!iConCube: A Location-Based Mobile Cloud System for Meeting Organizers and Participants
Hangdong Zhang|None!!!Mathematical Models for Simulating Coded Digital Communication: A Comprehensive Tutorial by Big Data Analytics in Cyber-Physical Systems
Fenghua Li|None!!!A practical group matching scheme for privacy-aware users in mobile social networks
Jinghao Qi|Beijing Jiaotong University!!!APPOW: An advanced routing protocol based on parameters optimization in the weighted mobile social network*@*HERS: High-efficient routing protocol based on social metrics in mobile social network
Xiaobing Sun|None!!!Model Under Design and Over Design on Mobile Applications
Lionel M. Ni|None!!!Towards Truthful Mechanisms for Mobile Crowdsourcing with Dynamic Smartphones*@*Towards Truthful Mechanisms for Mobile Crowdsourcing with Dynamic Smartphones*@*Crowdsourcing Sensing Workloads of Heterogeneous Tasks: A Distributed Fairness-Aware Approach*@*Towards Redundancy-Aware Data Utility Maximization in Crowdsourced Sensing with Smartphones*@*Towards Redundancy-Aware Data Utility Maximization in Crowdsourced Sensing with Smartphones*@*Towards Redundancy-Aware Data Utility Maximization in Crowdsourced Sensing with Smartphones*@*Towards Redundancy-Aware Data Utility Maximization in Crowdsourced Sensing with Smartphones*@*Towards Truthful Mechanisms for Mobile Crowdsourcing with Dynamic Smartphones
Songqiao Han|None!!!Performance Evaluation of Mobile Service Design Paradigm in Ubiquitous Computing Environments
Xingtao Xu|None!!!An integrated cyber-physical simulation environment for smart grid applications
Lixue Chen|Southwest Petroleum University!!!Social boundary of any two nodes in a social network
Duo-yong Sun|National University of Defense Technology!!!Social network change detection using a genetic algorithm based back propagation neural network model
Kaibing Zhang|None!!!Secure Multimedia Big Data Sharing in Social Networks Using Fingerprinting and Encryption in the JPEG2000 Compressed Domain
Kai Zhao|None!!!Cyber-physical-social system in intelligent transportation
Zhang Huiyun|None!!!A novel approach to achieving £-anonymization for social network privacy preservation based on vertex connectivity
Lei Cao|None!!!ASP2P: An advanced botnet based on social networks over hybrid P2P*@*Study of Location and Navigation Services in Complex Indoor Scenes Based on the Android Mobile Computing Platform
Tao Yin|None!!!DR-SNBot: A Social Network-Based Botnet with Strong Destroy-Resistance
Weihao Li|None!!!LRDM: Local Record-Driving Mechanism for Big Data Privacy Preservation in Social Networks
Dong-min Deng|Tianjin University of Technology and Education!!!A dual-band microstrip antenna for aviation and mobile application
XiangYun Fu|None!!!Challenge and evolution of cyber attacks in Cyber Physical Power System
Tian Chen|None!!!Combination of DRM and Mobile Code: A Practice to Protect TV Contents and Applications on Android Smartphone
Jing Jiang|None!!!Cloud Model: Detect Unsupervised Communities in Social Tagging Networks
Pengfei You|None!!!Providing Information Services for Wireless Sensor Networks through Cloud Computing
Ying Chen|Tianjin University of Technology!!!A kind of service-aware computing method for Web-based mobile application with uncertainty*@*A kind of service-aware computing method for Web-based mobile application with uncertainty*@*Energy Efficient Scheduling and Management for Large-Scale Services Computing Systems*@*A Partial Selection Methodology for Efficient QoS-Aware Service Composition
Yanhe Cheng|None!!!Exploration of cognitive space TT&C SYSTEM
Jinbao Li|None!!!Data Dissemination Protocols Based on Opportunistic Sharing for Data Offloading in Mobile Social Networks*@*Influence Equilibrium Problem Research Based on Common Interests in Mobile Social Network
Han Baorui|None!!!Bus Scheduling Feasibility Study of Rainy Day Based on the Mobile Phone Signal Data
Yang Fu|None!!!A Cloud Computing Platform for Data Analysis Based on R Cluster
Kaichao Wu|None!!!A service-oriented architecture for on-demand and dynamic ally reconfigurable computing
Xinping Guan|Shanghai Jiao Tong University!!!Cognitive Radio Enabled Transmission for State Estimation in Industrial Cyber-Physical Systems*@*Cognitive Radio Enabled Transmission for State Estimation in Industrial Cyber-Physical Systems*@*Cognitive Radio Enabled Transmission for State Estimation in Industrial Cyber-Physical Systems*@*Toward Self-Manageable and Adaptive Industrial Cyber-Physical Systems With Knowledge-Driven Autonomic Service Management*@*NS3-MATLAB co-simulator for cyber-physical systems in smart grid*@*Cognitive radio enabled reliable transmission for optimal remote state estimation in multi-sensor industrial cyber-physical systems*@*Modeling distributed automation systems in cyber-physical view*@*Ubiquitous Monitoring for Industrial Cyber-Physical Systems Over Relay- Assisted Wireless Sensor Networks*@*Formation Control of Teleoperating Cyber-Physical Syste With Time Delay and Actuator Saturation*@*Formation control of Teleoperating Cyber-Physical System subject to time delay and actuator saturation constraints*@*A comprehensive overview of cyber-physical systems: from perspective of feedback system*@*Complete observation against attack vulnerability for cyber-physical systems with application to power grids
Yunming Ye|None!!!Security Issues and Challenges for Cyber Physical System*@*A Probabilistic Generative Model for Mining Cybercriminal Networks from Online Social Media*@*SGP: Sampling Big Social Network Based on Graph Partition
Changbo Wang|None!!!Behavior-Based Simulation of Real-Time Crowd Evacuation
Huahu Xu|None!!!Design of 3D Rendering Platform Based on Cloud Computing
Enid Wai-Yung Kwong|None!!!Bio-medical Application on Predicting Systolic Blood Pressure Using Neural Networks
Aiqing Zhang|Anhui Normal University!!!Light-Weight and Robust Security-Aware D2D-Assist Data Transmission Protocol for Mobile-Health Systems
Zhaoqun Chen|Tsinghua University!!!Defense against sybil attacks in directed social networks
Ruifang Liu|None!!!Attractiveness-based community detection for large social networks
Xiaoliang Sun|None!!!Real-Time Traffic Status Classification Based on Gaussian Mixture Model
Xingkai Guo|None!!!Time constraint-based team formation in social networks
Huigui Rong|None!!!A Crowd Sourcing Service Model for Optimizing User-Desired Storage Resource Scheduling*@*A Crowd Sourcing Service Model for Optimizing User-Desired Storage Resource Scheduling
Dunlu Peng|None!!!Discovering Communities with Self-Adaptive k Clustering in Microblog Data
Zihao Zhao|None!!!An Approach to Context-Aware Service Pushing for Mobile Computing
Song Shi|None!!!A Hierarchical Multi-label Propagation Algorithm for Overlapping Community Discovery in Social Networks
Hou Di|Xi'an Jiaotong University!!!A clustering and selection model for service composition using granular computing
John C.S. Lui|None!!!Mathematical Modeling of Crowdsourcing Systems: Incentive Mechanism and Rating System Design
Zhenzhou Ji|None!!!A Task Partition Algorithm Based on Grid and Graph Partition for Distributed Crowd Simulation
Yafei Dai|Peking University!!!VoteTrust: Leveraging Friend Invitation Graph to Defend against Social Network Sybils
Zhenming He|Yangtze University!!!Organization and management of spatial information oriented to mobile smart terminal and its application
Liang Zhang|None!!!A Novel Multi-Service Small-Cell Cloud Radio Access Network for Mobile Backhaul and Computing Based on Radio-Over-Fiber Technologies
Bing Xie|Peking University!!!effSense: A Novel Mobile Crowd-Sensing Framework for Energy-Efficient and Cost-Effective Data Uploading*@*effSense: A Novel Mobile Crowd-Sensing Framework for Energy-Efficient and Cost-Effective Data Uploading*@*ecoSense: Minimize Participants’ Total 3G Data Cost in Mobile Crowdsensing Using Opportunistic Relays
Xiaoming Li|None!!!Holistic Reality Examination on Practical Challenges in a Mobile CrowdSensing Application
Shasha Li|Zhejiang University!!!Effector Detection in Social Networks
Jianhua Li|Information and Electrical Engineering Shanghai Jiao Tong University Shanghai!!!A genetic-algorithm-based information evolution model for social networks*@*Multiple evidence fusion based information diffusion model for social network*@*A new genetic-based rumor diffusion model for social networks*@*Matrix Based Community Evolution Events Detection in Online Social Networks*@*Chance Discovery Based Security Service Selection for Social P2P Based Sensor Networks
Hongzhi Shi|Tsinghua University!!!Big Data Driven Mobile Traffic Understanding and Forecasting: A Time Series Approach
Yong Yang|Central China Normal University!!!Mobile E-Business service system based on ubiquitous computing technology
LiTian|Communication University of China!!!The discussion of cross-platform mobile application based on Phonegap
Liang Zhou|Nanjing University of Posts and Telecommunications!!!Design and Implementation of a C++ Memory Leak Detection Tool Based on Dynamic Instrumentation*@*Research on the Identification of Software Behavior in Anomaly Detection*@*Dynamic Taint Tracking of Web Application Based on Static Code Analysis*@*A Novel Cooperation Strategy for Mobile Health Applications
Guo Junwei|None!!!Mobile augmented reality system for personal museum tour guide applications
Zhigang Zhou|None!!!CLPP: Context-aware location privacy protection for location-based social network
Hongquan Song|None!!!Real-Time Monitoring for Crowd Counting Using Video Surveillance and GIS
Huaizhe Zhou|None!!!ESI-Cloud: Extending Virtual Machine Introspection for Integrating Multiple Security Services
Jianguo Yao|None!!!A Better Understanding of Event-Triggered Control from a CPS Perspective
Bin Zhu|Zhejiang Shuren University!!!Research on pedestrian evacuation simulation based on fuzzy logic
Yuying Wang|Northwestern Polytechnical University!!!Study on Integrated Modeling Methods toward Co-simulation of Cyber-Physical System*@*Study on Complex Event Processing for CPS: An Event Model Perspective*@*An Implementation towards Integrated Simulation of Cyber-physical Systems*@*An event-based architecture for cyber physical systems*@*Spatio-temporal semantic enhancements for event model of cyber-physical systems
Hong Zhong|Anhui University!!!Cooperative Query Answer Authentication Scheme Over Anonymous Sensing Data*@*Cooperative Query Answer Authentication Scheme Over Anonymous Sensing Data
Aimingyao|Wuhan University!!!Design and application of mobile panoramic map based on sphere model
Xiaoyuan Luo|Yanshan University!!!Formation Control of Teleoperating Cyber-Physical Syste With Time Delay and Actuator Saturation*@*Complete observation against attack vulnerability for cyber-physical systems with application to power grids
Junping Zhang|Fudan University!!!Predicting Pedestrian Counts in Crowded Scenes With Rich and High-Dimensional Features
Shengcai Liu|University of Science and Technology of China!!!QoS-aware long-term based service composition in cloud computing
Xudong Wang|None!!!A cyber-physical system framework for smart grid wireless communications*@*Analytical FRTU deployment approach for reliability improvement of integrated cyber-physical distribution systems*@*JavaScript Offloading for Web Applications in Mobile-Cloud Computing
Jianshan Sun|None!!!User Role Analysis in Online Social Networks Based on Dirichlet Process Mixture Models
Yang Gao|None!!!Security Analysis on Cyber-physical System Using Attack Tree*@*Analysis of security threats and vulnerability for cyber-physical systems*@*A Task Recommendation Model for Mobile Crowdsourcing Systems Based on Dwell-Time*@*Cyber-physical System Risk Assessment*@*A Task Recommendation Model for Mobile Crowdsourcing Systems Based on Dwell-Time
Xiong Kai|Zhejiang University City College!!!Explorations on teaching reformation about mobile communications in application-oriented undergraduate education
Xiaoping Wu|Naval University of Engineering!!!Toward cyber-physical networks and smartly active sensing IETM for equipment maintenance in marine ships
Qizhao Zhou|None!!!Self-Similarity Analysis of Mobile Instant Messaging Applications' Traffic and Server
F. Richard Yu|None!!!QoS- and security-aware dynamic spectrum management for cyber-physical surveillance system
Jianhua Gong|None!!!The framework of crowd simulation modeling with social network*@*Modeling for Urban Crowd Daily Behavior Based on Human-Earth Relationship*@*Modeling for Urban Crowd Daily Behavior Based on Human-Earth Relationship
Demin Li|None!!!User Preference Based Link Inference for Social Network
Ying Yang|Yunnan University of Finance and Economics!!!Design and Realize of Tire Production Process Monitoring System Based on Cyber-Physical Systems*@*Application of Modified BLP Model on Mobile Web Operating System*@*An energy sentient service brokering strategy in cloud computing*@*An energy sentient service brokering strategy in cloud computing
Bin Hu|None!!!Distributed intrusion detection based on hybrid gene expression programming and cloud computing in a cyber physical power system*@*Monitoring Patients with Mental Disorders*@*Distributed intrusion detection based on hybrid gene expression programming and cloud computing in a cyber physical power system
Yuhao Wu|Tsinghua University!!!THear: Development of a mobile multimodal audiometry application on a cross-platform framework
Kai Chen|None!!!Benchmarking of Distributed Computing Engines Spark and GraphLab for Big Data Analytics
Futian Wang|None!!!Where to Fix Temporal Violations: A Novel Handling Point Selection Strategy for Business Cloud Workflows
Ke Xu|Tsinghua University!!!Cost-Effective Partial Migration of VoD Services to Content Clouds*@*On Social Delay-Tolerant Networking: Aggregation, Tie Detection, and Routing*@*Modeling, Analysis, and Implementation of Universal Acceleration Platform Across Online Video Sharing Sites
Xudong Xiang|University of Science and Technology Beijing!!!Energy Efficient Scheduling and Management for Large-Scale Services Computing Systems
Jessie Hui Wang|None!!!A cascading framework for uncovering spammers in social networks
Hongbo Jin|None!!!ProGuard: Detecting Malicious Accounts in Social-Network-Based Online Promotions
Qianni Deng|Shanghai Jiao Tong University!!!How Your Friends Influence You: Quantifying Pairwise Influences on Twitter*@*Dynamic partition and replication algorithm for storage capacity limited distributed social network
Tao Zhu|University of Science and Technology Beijing!!!Cyberlogic Paves the Way From Cyber Philosophy to Cyber Science
Weiren Yu|None!!!iScreen: A Merged Screen of Local System with Remote Applications in a Mobile Cloud Environment
Man Luo|None!!!Mobile Node Localization Algorithm in Wireless Sensor Networks for Intelligent Transportation Systems
Le Xie|Tsinghua University!!!Modeling future cyber-physical energy systems
Xing Chen|None!!!Framework for Context-Aware Computation Offloading in Mobile Cloud Computing*@*Model-Driven Approach to Hadoop Deployment in Cloud
Qi Ye|None!!!Context-Aware Service Discovery in Pervasive Computing Environments
Xing Xu|Zhejiang Sci-Tech University!!!Design and development of the student PDA system based on the Windows Mobile application platform
Liangli Ma|None!!!Toward cyber-physical networks and smartly active sensing IETM for equipment maintenance in marine ships
Xiaoyu Zhang|None!!!QTime: A Queuing-Time Notification System Based on Participatory Sensing Data*@*QTime: A Queuing-Time Notification System Based on Participatory Sensing Data
Li Chunshan|None!!!City Event Management System Based on Multiple Data Source*@*City Event Management System Based on Multiple Data Source
Chen Change Loy|None!!!Scene-Independent Group Profiling in Crowd
Zhang Xuebo|Nankai University!!!A service-oriented architecture for the transportation Cyber-Physical Systems
Zhong Zheng|None!!!SemanticCast: Content-Based Data Distribution over Self-Organizing Semantic Overlay Networks
Junwan Liu|None!!!Microarray Biclustering with Crowding Based MOACO*@*Microarray Data Biclustering with Multi-objective Immune Optimization Algorithm
Xiaomeng Liu|Capital Normal University!!!Multi-scale spatial data organization for GIS road features in mobile applications system
Linhui Zhong|None!!!Limited Intervention Collaborative Decision Making of MAV-UAV Team Based on VFCM
Jie Tang|University of Electronic Science and Technology of China!!!Influence Maximization in Dynamic Social Networks*@*Rumor spreading in interdependent social networks*@*Learning triadic influence in large social networks*@*Influential Node Tracking on Dynamic Social Network: An Interchange Greedy Approach*@*ACTPred: Activity prediction in mobile social networks*@*Triadic Closure Pattern Analysis and Prediction in Social Networks
Ting Gao|University of Shanghai for Science and Technology!!!A study on users' acceptance behavior to mobile e-books application based on UTAUT model
Zhihong Deng|None!!!Incentives for delay-constrained data query in mobile opportunistic social networks
Liang Hu|None!!!Service Discovery and Recommendation in Rough Hierarchical Granular Computing*@*Review of Cyber-Physical System Architecture
Rong Peng|None!!!A Time-Aware Method to Process Behavioral Similarity Calculation
Feixiang Zhu|Dalian Maritime University!!!Research on a method for analysis of ship traffic density in harbor water area based on GIS
Dianzheng Fu|None!!!A Cloud Computing Platform for Data Analysis Based on R Cluster
Xiaojun Ye|None!!!Exploring big data in small forms: A multi-layered knowledge extraction of social networks
Xiaoru Yuan|None!!!WeiboEvents: A Crowd Sourcing Weibo Visual Analytic System
Xiaolin Chang|Beijing Jiaotong University!!!Modeling Active Virtual Machines on IaaS Clouds Using an M/G/m/m+K Queue
H. J. Sun|East China Jiaotong University!!!Non-dominated sorting differential evolution algorithm for multi-objective optimal integrated generation bidding and scheduling
Chuan Lin|Northeastern University!!!Energy-Efficient Virtual Resource Dynamic Integration Method in Cloud Computing
Xingzhi Lin|None!!!Open Rainbow Services-Oriented Testbed: Low Cost Cloud Computing Platform for Open Systems Research
Chenhui Zhang|Tsinghua University!!!Learning triadic influence in large social networks
MeiLing Gao|None!!!A hybrid recommendation algorithm based on social networks
Yanhui Wang|Capital Normal University!!!Multi-scale spatial data organization for GIS road features in mobile applications system
Zhiyong Yang|None!!!A traffic congestion control method in the cyber physical systems
Hong Gao|None!!!The Roles of Social Network Mavens*@*Dynamic Resource Allocation of Gateways for Packet Transmission in Cyber-Physical Systems*@*Fast Community Discovery and Its Evolution Tracking in Time-Evolving Social Networks
Li Yu|Zhejiang University of Technology!!!Secure Fusion Estimation for Bandwidth Constrained Cyber-Physical Systems Under Replay Attacks*@*Robust Fuzzy-Model-Based Filtering for Nonlinear Cyber-Physical Systems With Multiple Stochastic Incomplete Measurements*@*Distributed Dimensionality Reduction Fusion Estimation for Cyber-Physical Systems Under DoS Attacks*@*Distributed Covariance Intersection Fusion Estimation for Cyber-Physical Systems With Communication Constraints*@*Information Fusion Estimation for spatially distributed cyber-physical systems with communication delay and bandwidth constraints
Hong Jiang|East China Normal University!!!Optimal Design of Cognitive Radio Wireless Parameters based on Non-dominated Neighbor Distribution Genetic Algorithm*@*GA-based close relationship matching under social network environment
Liu Pan|Capital Normal University!!!The research on e-book-oriented mobile learning system environment application and its tendency
Wei Liang|None!!!Modeling of Research Topic Evolution Associated with Social Networks of Researchers*@*A priority-aware frequency domain polling MAC protocol for OFDMA-based networks in cyber-physical systems*@*Dynamic Community Mining and Tracking Based on Temporal Social Network Analysis
An Guo|None!!!Cyber-physical failure detection system: Survey and implementation
Qian Chi|Zhejiang Gongshang University!!!Personalized intelligent guidance system for large-scale crowd's activities
Gaobo Yang|Hunan University!!!Complexity scalable intra-prediction mode decision algorithm for mobile video applications
Weijun Qin|None!!!RestThing: A Restful Web Service Infrastructure for Mash-Up Physical and Web Resources*@*Poster Abstract: Smartphone Heterogeneous Network Handoff Based on the Closed Control Loop
Jian-Hua Li|None!!!Framework of grid computing based on semantic web service
Zheng-Hua Liu|Beihang University!!!Application of active disturbance rejection controller in wheeled mobile robot servo system
Zhao Ran|None!!!On the analysis of the applications and social influence of mobile phone reading in the medium and small cities in China: Take the first pilot city Baoding for an example
Wenjing Wang|None!!!Research on multi-source information service system architecture based on cloud computing
Chi Tin Hon|Fudan University!!!Toward cloud computing QoS architecture: analysis of cloud systems and cloud services
Yan-bo Xue|None!!!Research and Design of Intelligent Computing Platform for Industrial Process Based on the Mobile Service
Yonghong Tian|None!!!A system based on sequence learning for event detection in surveillance video
Hongmei Chen|Yunnan University!!!SQNR: A System for Querying Nodes and relations in multi-relational social networks
Yang Yalei|None!!!Cyber-Physical Systems Modeling Based on Extended Hybrid Automata
Changjun Jiang|Tongji University!!!LASS: Local-Activity and Social-Similarity Based Data Forwarding in Mobile Social Networks*@*Capacity Scaling of Wireless Social Networks*@*Modeling Interest-Driven Data Dissemination in Online Social Networks*@*Scaling Laws of Social-Broadcast Capacity for Mobile Ad Hoc Social Networks*@*A Multilevel Index Model to Expedite Web Service Discovery and Composition in Large-Scale Service Repositories*@*Space-Crossing: Community-Based Data Forwarding in Mobile Social Networks Under the Hybrid Communication Architecture*@*Improving data forwarding in Mobile Social Networks with infrastructure support: A space-crossing community approach
Zuohua Ding|None!!!Reliability Computing for Service Composition*@*Port Based Reliability Computing for Service Composition*@*Spatio-temporal Properties Analysis for Cyber-physical Systems*@*Spatio-temporal UML Statechart for Cyber-Physical Systems
Rongjie Dai|None!!!Accelerating Link Community Detection in Social Networks
Shu Li|None!!!An Adaptive Cloudlet Placement Method for Mobile Applications over GPS Big Data
Jianhui Zhang|None!!!BarFi: Barometer-Aided Wi-Fi Floor Localization Using Crowdsourcing
Dexian Zhang|Henan University of Technology!!!Hybrid prediction model based on BP neural network for lung cancer
Lu Xiuying|None!!!The Third-Party Applications Development Based on Social Network Open Platform
Jinjing Han|None!!!A Framework for Permission Recommendation and Risk Evaluation Based on Skewness-Based Filtering
Zhisheng Duan|Peking University!!!Stability of Power Control in Multiple Coexisting Wireless Networks: An \mathscr {L}_{2}\mathscr {L}_{2} Small-Gain Perspective
Hongyi Zhang|None!!!Protecting Sensitive Labels in Weighted Social Networks
Ge Li|None!!!Group Control of Escalators: Modeling Based on Data and Optimization of Distribution
Qingxiang Gong|None!!!Software-Defined Networking (SDN) and Distributed Denial of Service (DDoS) Attacks in Cloud Computing Environments: A Survey, Some Research Issues, and Challenges*@*Software-Defined Networking (SDN) and Distributed Denial of Service (DDoS) Attacks in Cloud Computing Environments: A Survey, Some Research Issues, and Challenges
Zhongzhou Jiang|Xidian University!!!A Multiobjective Evolutionary Algorithm Based on Similarity for Community Detection From Signed Social Networks
Yuanlong Cao|Jiangxi Normal University!!!A LDDoS-aware Energy-efficient Multipathing Scheme for Mobile Cloud Computing Systems
Bixiang Li|None!!!A Study on the Dynamic Spatial-Temporal Trajectory Features of Pedestrian Small Group
Wang Xiquan|None!!!Public Policy Ethical Evaluation of Technological Innovation Using Social Networks
Dawei Jiang|None!!!Optimizing the Spatio-temporal Distribution of Cyber-Physical Systems for Environment Abstraction
Xian-yun Tian|None!!!Deep learning-based target customer position extraction on social network
Chen Yun|None!!!Research of Software Size Estimation Method
Xuyang Ding|None!!!Energy-Saving Service Scheduling for Low-End Cyber-Physical Systems
Zhou Xuping|None!!!Performance study on a DS/FH hybrid system with concatenated coding in strong partial band noise
Liya Wang|Hebei United University!!!Research on the situation analysis model of social network relation based on set pair connection potential
Li Yanqin|East China University of Technology!!!Evolution of service composition based on QoS under the cloud computing environment
Meng Niu|Beijing University of Posts and Telecommunications!!!An end-user oriented tool suite for development of mobile applications
Feng Linlin|Harbin Engineering University!!!Application of leaky coaxial cable in subway mobile communication system
Fengli Xu|Tsinghua University!!!Big Data Driven Mobile Traffic Understanding and Forecasting: A Time Series Approach
Chang Men|Tsinghua University!!!Exploiting user's social network: A novel method to recommend most attractive and targeted service
Yang Xiaoduo|Kunming University of Science and Technology!!!An improved real-time task preemptive scheduling in cyber-physical systems
Yuhui Zheng|Xiamen University!!!Research on a behavior control technique of crowd simulation
Tie Qiu|Dalian University of Technology!!!A state-prediction-based control strategy for UAVs in Cyber-Physical Systems*@*An Efficient Protocol With Bidirectional Verification for Storage Security in Cloud Computing*@*Event-Based Mobile Social Networks: Services, Technologies, and Applications*@*Event-Based Mobile Social Networks: Services, Technologies, and Applications*@*A social popularity aware scheduling algorithm for ad-hoc social networks
Jinshu Zhao|Chair for Circuit Design and Network Theory in Dresden University of Technology!!!A Single-Chip CMOS UHF RFID Reader Transceiver for Chinese Mobile Applications
Xiaolin Huang|None!!!User Experience of Social Network Based on a Cross-Platform Background
Yongwei Wu|Tsinghua University!!!MARSMARS : Mobile Application Relaunching Speed-Up through Flash-Aware Page Swapping
Haoran Li|Peking University!!!Locations recommendation based on check-in data from Location-Based Social Network
Haibo Wu|None!!!Multiple-tree topology construction scheme for P2P live streaming systems under flash crowds*@*How P2P live streaming systems scale quickly under a flash crowd?*@*Bandwidth-aware peer selection for P2P live streaming systems under flash crowds
Liang Wang|Beijing Jiaotong University!!!A mobile digital rights management application System Based on agent technology*@*Artemis-FollowMe: An agent-based middleware for mobile context-aware applications*@*Comparison of three stability analysis methods for delayed cyber-physical power system
Rongsheng Huang|None!!!Design and Implementation of Communication Protocol of Sea-Floor Observatory
Ying Cheng|None!!!CCIoT-CMfg: Cloud Computing and Internet of Things-Based Cloud Manufacturing Service System
Qifeng Liu|None!!!Multi-domain cloud social network service platform supporting online collaborations on campus
Ying Wan|Southeast University!!!Distributed Observer-Based Cyber-Security Control of Complex Dynamical Networks
Ting-Ting Wu|None!!!An Improved Individual Evaluation and Elitism Selection for Distribution Performance of SPEA2
Dong Liang Lee|John's University!!!Social network visualization for interest in music
Gao Guangchun Shang Lina|Zhejiang University City College!!!Explorations on teaching reformation about mobile communications in application-oriented undergraduate education
Yong He|Central South University!!!The application of multi-objective differential evolution algorithm in the combustion process of coke oven
Yangkai Wu|None!!!Application of Voice Recognition for Mobile E-Commerce Security
Xiong Li|Hunan University of Science and Technology!!!Hierarchical Trust Level Evaluation for Pervasive Social Networking*@*Research on Mobile Multimedia Broadcasting Service Integration Based on Cloud Computing
Chuan He|Hefei University of Technology!!!User Vitality Ranking and Prediction in Social Networking Services: A Dynamic Network Perspective
Chunlei Guo|None!!!The application of mobile based on MapX mobile in the precision irrigation agricultural demonstration zone
Biao Zhang|None!!!Development of the Driving Cycle for Dalian City*@*Design and evaluation of a Pub/Sub service in the cloud
Yong Hu|None!!!A Social Network Analysis of Online Collaborative Learning Aspects in an Online Course
Mingsheng Chen|None!!!A Video Objects Classification Method Based on GLDM and SVDD
Yue Han|None!!!A Security and Safety Framework for Cyber Physical System*@*Influence Equilibrium Problem Research Based on Common Interests in Mobile Social Network
Min Liang|None!!!A Novel Cloud-Based Crowd Sensing Approach to Context-Aware Music Mood-Mapping for Drivers*@*A Novel Cloud-Based Crowd Sensing Approach to Context-Aware Music Mood-Mapping for Drivers
Zhihan Liu|None!!!Tree-Structured Network Based Hierarchical Complex Event Processing in Wireless Sensor Networks*@*Learning Transportation Annotated Mobility Profiles from GPS Data for Context-Aware Mobile Services
Bingli Jiao|Peking University!!!Interactive crowdsourcing to spontaneous reporting of Adverse Drug Reactions*@*To enable stable medical image and video transmission in mobile healthcare services: A Best-fit Carrier Dial-up (BCD) algorithm for GBR-oriented applications in LTE-A networks
Ling Yang|Nanjing University of Science and Technology!!!A Novel Substitution Judgment Method for Mobile Cloud Computing Application System Components*@*Capturing and characterizing network actions of mobile applications for behavior consistency
Maishun Yang|Xi’an Jiaotong University!!!A Fair Incentive Mechanism for Crowdsourcing in Crowd Sensing
Liqian Chen|None!!!Runtime Monitoring for Cyber-physical Systems: A Case Study of Cooperative Adaptive Cruise Control*@*Data Race Detection for Interrupt-Driven Programs via Bounded Model Checking
